DEBUG: CURRENT=11:03, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:04, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:04, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:05, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:05, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:06, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:06, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:07, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:08, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:09, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:10, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:11, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:12, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:13, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:14, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:15, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:16, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:16, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:17, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:17, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:18, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:18, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:19, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:19, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:20, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:20, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:21, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:21, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:22, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:22, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:23, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:23, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:24, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:24, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:25, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:25, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:26, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:26, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:27, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:27, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:28, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:28, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:29, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:29, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:30, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:30, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:31, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:31, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:32, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:32, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:33, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:33, START_TIME=9:00, STOP_TIME=17:00
DEBUG: CURRENT=11:34, START_TIME=9:00, STOP_TIME=17:00
